time noise chunk
1592438019 0.7 1086t
1592438054 0.7 748T
1592438058 0.7 629T
1592438182 0.7 461T
1592438205 0.7 1208T
1592438318 0.7 1166T
1592438369 0.7 1247T
1592438369 0.7 153T
1592438370 0.7 872T
1592438373 0.7 978T
1592438374 0.7 1083T
1592438375 0.7 1293T
1592438376 0.7 363T
1592438378 0.7 606T
1592438387 0.7 951T
1592438389 0.7 18T
1592438391 0.7 623T
1592438395 0.7 995T
1592438396 0.7 124T
1592438398 0.7 1223T
1592438400 0.7 1033T
1592438400 0.7 1108T
1592438402 0.7 295T
1592438407 0.7 887T
1592438410 0.7 1329T
1592438411 0.7 1329T
1592438413 0.7 1319T
1592438413 0.7 558T
1592438433 0.7 588T
1592438433 0.7 847T
1592438437 0.7 603T
1592438438 0.7 755T
1592438439 0.7 253T
1592438439 0.7 553T
1592438442 0.7 297T
1592438444 0.7 1039T
1592438446 0.7 761T
1592438447 0.7 870T
1592438447 0.7 1145T
1592438448 0.7 115T
1592438449 0.7 935T
1592438450 0.7 1045T
1592438452 0.7 268T
1592438453 0.7 792T
1592438454 0.7 896T
1592438461 0.7 1053T
1592438462 0.7 152T
1592438464 0.7 288T
1592438464 0.7 596T
1592438465 0.7 1194T
1592438481 0.7 518T
1592438489 0.7 780T
1592438491 0.7 562T
1592438502 0.7 607T
1592438504 0.7 567T
1592438506 0.7 778T
1592438509 0.7 621T
1592438510 0.7 689T
1592438511 0.7 186T
1592438512 0.7 1258T
1592438513 0.7 621T
1592438514 0.7 1075T
1592438515 0.7 743T
1592438520 0.7 683T
1592438528 0.7 1297T
1592438530 0.7 1037T
1592438531 0.7 240T
1592438532 0.7 122T
1592438535 0.7 14T
1592438536 0.7 980T
1592438539 0.7 729T
1592438541 0.7 1156T
1592438545 0.7 15T
1592438546 0.7 1263T
1592438547 0.7 131T
1592438548 0.7 719T
1592438549 0.7 1323T
1592438550 0.7 1057T
1592438551 0.7 844T
1592438553 0.7 561T
1592438553 0.7 1336T
1592438557 0.7 651T
1592438563 0.7 625T
1592438571 0.7 44T
1592438572 0.7 10T
1592438573 0.7 664T
1592438575 0.7 691T
1592438575 0.7 1103T
1592438576 0.7 738T
1592438577 0.7 615T
1592438578 0.7 792T
1592438578 0.7 51T
1592438579 0.7 1118T
1592438582 0.7 1272T
1592438583 0.7 304T
1592438585 0.7 1116T
1592438586 0.7 1278T
1592438587 0.7 1247T
1592438588 0.7 317T
1592438590 0.7 327T
1592438591 0.7 6T
1592438592 0.7 30T
1592438593 0.7 149T
1592438595 0.7 95T
1592438596 0.7 322T
1592438598 0.7 1173T
1592438603 0.7 1238T
1592438606 0.7 804T
1592438610 0.7 113T
1592438623 0.7 179T
1592438628 0.7 113T
1592438637 0.7 1093T
1592438642 0.7 1178T
1592438645 0.7 527T
1592438646 0.7 868T
1592438647 0.7 1004T
1592438649 0.7 1025T
1592438650 0.7 340T
1592438651 0.7 1244T
1592438652 0.7 312T
1592438661 0.7 1294T
1592438663 0.7 1330T
1592438666 0.7 788T
1592438670 0.7 546T
1592438671 0.7 665T
1592438673 0.7 504T
1592438674 0.7 616T
1592438676 0.7 1124T
1592438678 0.7 1071T
1592438679 0.7 363T
1592438683 0.7 1260T
1592438686 0.7 349T
1592438691 0.7 607T
1592438692 0.7 88T
1592438698 0.7 1000T
1592438700 0.7 1001T
1592438701 0.7 1215T
1592438702 0.7 995T
1592438714 0.7 181T
1592438715 0.7 848T
1592438719 0.7 401T
1592438723 0.7 896T
1592438724 0.7 118T
1592438726 0.7 1185T
1592438727 0.7 1234T
1592438751 0.7 633T
1592438752 0.7 256T
1592438753 0.7 316T
1592438755 0.7 1270T
1592438757 0.7 1218T
1592438758 0.7 513T
1592438760 0.7 790T
1592438762 0.7 1119T
1592438764 0.7 1237T
1592438766 0.7 888T
1592438770 0.7 1270T
1592438771 0.7 792T
1592438778 0.7 1039T
1592438778 0.7 1159T
1592438781 0.7 762T
1592438782 0.7 304T
1592438784 0.7 937T
1592438786 0.7 727T
1592438787 0.7 395T
1592438788 0.7 1086T
1592438789 0.7 161T
1592438790 0.7 332T
1592438791 0.7 1168T
1592438792 0.7 546T
1592438793 0.7 564T
1592438794 0.7 1066T
1592438798 0.7 564T
1592438799 0.7 593T
1592438800 0.7 113T
1592438803 0.7 1178T
1592438805 0.7 44T
1592438806 0.7 1087T
1592438809 0.7 1166T
1592438810 0.7 725T
1592438810 0.7 819T
1592438812 0.7 687T
1592438814 0.7 349T
1592438814 0.7 1168T
1592438815 0.7 896T
1592438816 0.7 778T
1592438817 0.7 694T
1592438818 0.7 780T
1592438821 0.7 114T
1592438822 0.7 788T
1592438823 0.7 58T
1592438825 0.7 563T
1592438826 0.7 1096T
1592438828 0.7 240T
1592438829 0.7 428T
1592438830 0.7 317T
1592438833 0.7 523T
1592438835 0.7 470T
1592438835 0.7 1320T
1592438837 0.7 322T
1592438838 0.7 966T
1592438840 0.7 743T
1592438843 0.7 14T
1592438845 0.7 1161T
1592438846 0.7 325T
1592438847 0.7 270T
1592438848 0.7 669T
1592438849 0.7 1145T
1592438856 0.7 864T
1592438857 0.7 1003T
1592438858 0.7 1263T
1592438861 0.7 898T
1592438864 0.7 357T
1592438866 0.7 603T
1592438867 0.7 1103T
1592438869 0.7 1272T
1592438873 0.7 29T
1592438875 0.7 1031T
1592438876 0.7 789T
1592438877 0.7 612T
1592438878 0.7 664T
1592438882 0.7 65T
1592438884 0.7 158T
1592438888 0.7 663T
1592438889 0.7 1003T
1592438891 0.7 1090T
1592438892 0.7 559T
1592438894 0.7 1175T
1592438895 0.7 723T
1592438896 0.7 34T
1592438897 0.7 823T
1592438898 0.7 594T
1592438899 0.7 790T
1592438901 0.7 625T
1592438902 0.7 1330T
1592438919 0.7 618T
1592438919 0.7 1203T
1592438920 0.7 103T
1592438922 0.7 1070T
1592438922 0.7 1190T
1592438923 0.7 748T
